field,time
63.0,28315
64.0,28330
64.0,28346
64.0,28361
64.0,28377
63.0,28393
63.0,28408
64.0,28424
64.0,28440
64.0,28455
63.0,28471
63.0,28486
63.0,28502
64.0,28518
63.0,28533
64.0,28549
64.0,28565
64.0,28580
63.0,28596
64.0,28612
64.0,28627
63.0,28643
63.0,28659
63.0,28674
64.0,28690
63.0,28706
64.0,28722
64.0,28737
64.0,28753
64.0,28769
63.0,28784
63.0,28803
64.0,28818
64.0,28834
63.0,28850
64.0,28865
64.0,28881
63.0,28896
64.0,28912
63.0,28928
63.0,28944
64.0,28959
64.0,28975
64.0,28991
64.0,29006
64.0,29022
63.0,29037
63.0,29053
63.0,29069
63.0,29084
64.0,29100
64.0,29116
64.0,29131
64.0,29147
63.0,29162
64.0,29178
64.0,29194
64.0,29209
64.0,29225
64.0,29241
64.0,29256
64.0,29272
64.0,29287
63.0,29303
63.0,29319
64.0,29334
64.0,29350
64.0,29366
63.0,29382
64.0,29397
64.0,29413
64.0,29429
64.0,29444
64.0,29460
64.0,29475
64.0,29491
64.0,29507
64.0,29522
63.0,29538
64.0,29554
64.0,29569
64.0,29585
64.0,29601
64.0,29617
64.0,29632
64.0,29648
64.0,29664
64.0,29679
63.0,29698
63.0,29714
64.0,29729
63.0,29745
63.0,29761
64.0,29776
63.0,29792
63.0,29807
64.0,29823
65.0,29839
64.0,29854
64.0,29870
64.0,29886
63.0,29901
64.0,29917
63.0,29933
63.0,29949
63.0,29964
63.0,29980
64.0,29996
64.0,30011
63.0,30027
63.0,30043
64.0,30058
64.0,30074
64.0,30090
63.0,30105
63.0,30121
64.0,30137
64.0,30152
63.0,30168
64.0,30184
64.0,30199
64.0,30215
64.0,30231
63.0,30246
64.0,30262
63.0,30277
64.0,30293
64.0,30309
64.0,30324
64.0,30340
64.0,30356
64.0,30371
63.0,30387
64.0,30403
64.0,30419
63.0,30434
63.0,30450
64.0,30465
63.0,30481
63.0,30497
64.0,30512
63.0,30528
64.0,30543
64.0,30559
64.0,30578
63.0,30593
64.0,30609
64.0,30625
63.0,30640
64.0,30656
63.0,30672
63.0,30687
63.0,30703
63.0,30719
64.0,30735
64.0,30750
64.0,30768
64.0,30784
63.0,30800
64.0,30815
63.0,30831
63.0,30847
64.0,30862
63.0,30878
63.0,30894
64.0,30909
63.0,30925
64.0,30941
63.0,30956
64.0,30972
64.0,30988
64.0,31004
63.0,31021
63.0,31037
64.0,31052
63.0,31068
63.0,31084
64.0,31099
64.0,31117
63.0,31133
63.0,31149
63.0,31164
64.0,31180
64.0,31196
64.0,31211
62.0,31227
63.0,31243
63.0,31259
64.0,31274
63.0,31290
64.0,31308
64.0,31324
63.0,31340
63.0,31355
64.0,31371
